Date,Time,SO2,NO,NO2,NOX,CO,O3,PM2.5,PM10,Temperature,RH,Solar_Rad,AQI,AQI_severity,Location
2024-01-01,00:00,136.32,93.25,54.77,218.71,12.56,0.09,267.19,151.16,30.72,82.23,517.55,314.0,Hazardous,Dhaka
2024-01-01,00:00,107.54,126.56,36.28,113.57,16.78,0.12,105.45,58.92,13.95,72.32,447.12,216.0,Very Unhealthy,Chattogram
2024-01-01,00:00,13.25,166.89,262.9,222.02,1.23,0.09,214.11,353.34,16.31,86.41,521.19,264.0,Very Unhealthy,Khulna
2024-01-01,00:00,271.7,42.64,343.79,243.25,20.44,0.08,231.45,188.21,23.22,78.33,73.59,281.0,Very Unhealthy,Rajshahi
2024-01-01,00:00,260.37,113.74,179.04,378.12,25.86,0.11,198.55,187.92,26.55,72.71,884.35,270.0,Very Unhealthy,Barisal
2024-01-01,00:00,215.53,166.49,352.96,98.77,11.46,0.06,240.21,343.09,16.48,59.46,400.49,290.0,Very Unhealthy,Sylhet
2024-01-01,00:00,180.19,73.71,230.47,299.62,27.26,0.1,255.23,340.32,10.9,79.12,362.05,305.0,Hazardous,Mymensingh
2024-01-01,00:00,292.58,180.78,243.89,68.33,4.97,0.06,237.74,389.08,27.58,91.9,503.13,287.0,Very Unhealthy,Rangpur
2024-01-01,01:00,245.98,90.24,196.72,186.99,18.95,0.02,69.31,365.81,26.86,79.7,944.78,224.0,Very Unhealthy,Dhaka
2024-01-01,01:00,112.98,159.92,313.16,344.28,13.88,0.07,76.15,320.14,15.77,67.01,944.89,183.0,Unhealthy,Chattogram
2024-01-01,01:00,40.55,77.3,87.71,190.24,24.21,0.14,293.91,119.85,17.48,89.81,593.16,336.0,Hazardous,Khulna
2024-01-01,01:00,14.87,154.45,109.59,308.53,22.67,0.08,298.27,327.98,26.86,58.26,823.53,339.0,Hazardous,Rajshahi
2024-01-01,01:00,136.96,104.46,86.35,178.83,14.96,0.02,142.98,169.53,32.51,70.58,262.78,196.0,Unhealthy,Barisal
